"Table (1): Stations, cities, and total labor cost in each station for each month",,,,,,,,,,,,,,,,Table (2): Fees to unlock a bike and rent per minute in each city,,
,,,,,,,,,,,,,,,,,,
Station_name,City,January,February,March,April,May,June,July,August,September,October,November,December,,,City,Fee_to_unlock_a_bike,Rent_per_minute
Ardmore / 6th,Lakewood,2.52,2.99,2.84,2.44,2.06,2.67,2.63,2.48,2.87,2.22,2.96,2.46,,,Agoura Hills,2.88,0.85
Ballona / 6th,Santa Monica,2.39,2.08,2.1,2.92,2.01,2.1,2.69,2.56,2.14,2.98,2.46,2.92,,,Alhambra,2.59,0.25
Ballona / Ardmore,Alhambra,2.62,2.98,2.41,2.05,2.86,2.3,2.14,2.6,2.8,2.63,2.14,2.14,,,Arcadia,2.78,0.72
Beatrice / 6th,Norwalk,2.58,2.59,2.55,2.56,2.78,2.33,2.65,2.99,2.14,2.2,2.22,2.52,,,Artesia,2.33,0.2
Beatrice / Ardmore,Norwalk,2.22,2.48,2.28,2.03,2.91,2.47,2.26,2.74,2.25,2.52,2.04,2.07,,,Avalon,2.91,0.9
Beatrice / Ballona,Carson,2.57,2.37,2.54,2.05,2.02,2.27,2.06,2.65,2.07,2.48,2.01,2.74,,,Azusa,2.34,0.36
Berendo / Ardmore,Santa Monica,2.11,2.56,2.12,2.39,2.67,2.61,2.41,2.35,2.73,2.79,2.88,2.81,,,Baldwin Park,2.71,0.71
Berendo / Ballona,Baldwin Park,2.28,2.84,2.88,2.1,2.5,2.9,2.05,2.13,3,2.8,2.45,2.79,,,Bell,2.32,0.65
Berendo / Beatrice,Inglewood,2.56,2.7,3,2.95,2.42,2.61,2.6,2.89,2.15,2.27,2.41,2.49,,,Bell Gardens,2.67,0.42
Centinela / Beatrice,Lakewood,2.57,2.27,2.13,2.25,2.9,2.57,2.71,2.8,2.49,2.9,2.84,2.91,,,Bellflower,2.42,0.13
Centinela / Berendo,Santa Monica,2.7,2.36,2.47,2.16,2.27,2.73,2.46,2.64,2.85,2.63,2.86,2.58,,,Beverly Hills,2.36,0.79
Charnock / Beatrice,Santa Monica,2.06,2.25,2.58,2.6,2.81,2.23,2.97,2.9,2.15,2.95,2.51,2.69,,,Bradbury,2.36,0.48
Charnock / Berendo,South Gate,2.63,2.36,2.93,2.86,2.24,2.77,2.78,2.3,2.39,2.01,2.78,2.73,,,Burbank,2.52,0.38
Charnock / Centinela,Alhambra,2.19,2.02,2.62,2.86,2.3,2.03,2.38,2.8,2.41,2.41,2.41,2.4,,,Calabasas,2.04,0.25
Culver / Berendo,Norwalk,2.47,2.49,2.27,2.37,2.78,2.49,2.58,2.6,2.73,2.33,2.89,2.55,,,Carson,2.13,0.47
Culver / Centinela,Bellflower,2.09,2.38,2.4,2.13,2.73,2.21,2.85,2.82,2.36,2.07,2.56,2.65,,,Cerritos,2.57,0.59
Culver / Charnock,Santa Monica,2.61,2.65,2.36,2.89,2.49,2.49,2.5,2.98,2.98,2.58,2.8,2.89,,,Claremont,2.65,0.6
Durango / Centinela,Lakewood,2.4,2.54,2.93,2.6,2.8,2,2.97,2.43,2.03,2.58,2.24,2.6,,,Commerce,2.6,0.65
Durango / Charnock,South Gate,2.03,2.31,2.5,2.36,2.66,2.9,2.46,2.89,2.41,2.35,2.62,2.94,,,Compton,2.51,0.88
