Time,Year,Quarter,Revenue,Cost of Goods Sold,Profit,Segment
1995,1995,1,"$1,947.11 ","$1,679.99 ",267.12,0
1995.25,1995,2,"$1,274.70 ","$1,079.65 ",195.05,0
1995.5,1995,3,"$1,437.91 ","$1,228.08 ",209.83,0
1995.75,1995,4,"$1,929.28 ","$1,672.05 ",257.23,0
1996,1996,1,"$2,575.56 ","$2,246.24 ",329.32,0
1996.25,1996,2,"$1,637.18 ","$1,387.49 ",249.69,0
1996.5,1996,3,"$1,778.64 ","$1,510.14 ",268.50,0
1996.75,1996,4,"$2,007.32 ","$1,741.69 ",265.64,0
1997,1997,1,"$2,347.54 ","$2,005.64 ",341.90,0
1997.25,1997,2,"$1,606.55 ","$1,341.57 ",264.98,0
1997.5,1997,3,"$1,793.20 ","$1,486.05 ",307.15,0
1997.75,1997,4,"$2,106.36 ","$1,751.18 ",355.18,0
1998,1998,1,"$2,852.10 ","$2,378.94 ",473.16,0
1998.25,1998,2,"$1,943.66 ","$1,589.45 ",354.22,0
1998.5,1998,3,"$2,172.49 ","$1,771.78 ",400.71,0
1998.75,1998,4,"$2,492.47 ","$2,048.25 ",444.22,0
1999,1999,1,"$3,456.03 ","$2,840.65 ",615.38,0
1999.25,1999,2,"$2,385.43 ","$1,923.43 ",462.00,0
1999.5,1999,3,"$2,686.64 ","$2,156.12 ",530.52,0
1999.75,1999,4,"$3,107.34 ","$2,516.97 ",590.37,0
2000,2000,1,"$4,314.62 ","$3,504.08 ",810.54,0
2000.25,2000,2,"$2,963.72 ","$2,326.13 ",637.59,0
2000.5,2000,3,"$3,169.17 ","$2,483.43 ",685.75,0
2000.75,2000,4,"$3,732.08 ","$3,000.04 ",732.04,0
2001,2001,1,"$5,461.58 ","$4,290.50 ",1171.08,0
2001.25,2001,2,"$3,697.00 ","$2,784.00 ",913.00,0
2001.5,2001,3,"$4,164.00 ","$3,149.00 ",1015.00,0
2001.75,2001,4,"$4,756.00 ","$3,651.00 ",1105.00,0
2002,2002,1,"$6,980.00 ","$5,294.00 ",1686.00,0
2002.25,2002,2,"$4,202.00 ","$3,048.00 ",1154.00,0.25
2002.5,2002,3,"$4,624.00 ","$3,399.00 ",1225.00,0.5
2002.75,2002,4,"$5,131.00 ","$3,802.00 ",1329.00,0.75
2003,2003,1,"$6,989.00 ","$5,151.00 ",1838.00,1
2003.25,2003,2,"$4,668.00 ","$3,390.00 ",1278.00,1.25
2003.5,2003,3,"$5,399.00 ","$3,938.00 ",1461.00,1.5
2003.75,2003,4,"$6,032.00 ","$4,666.00 ",1366.00,1.75
2004,2004,1,"$8,449.00 ","$6,298.00 ",2151.00,2
2004.25,2004,2,"$5,479.00 ","$4,065.00 ",1414.00,2.25
2004.5,2004,3,"$6,081.00 ","$4,508.00 ",1573.00,2.5
2004.75,2004,4,"$6,646.00 ","$4,997.00 ",1649.00,2.75
2005,2005,1,"$9,227.00 ","$6,909.00 ",2318.00,3
2005.25,2005,2,"$6,118.00 ","$4,451.00 ",1667.00,3.25
2005.5,2005,3,"$6,702.00 ","$4,878.00 ",1824.00,3.5
2005.75,2005,4,"$7,335.00 ","$5,436.00 ",1899.00,3.75
2006,2006,1,"$10,693.00 ","$7,901.00 ",2792.00,4
2006.25,2006,2,"$6,959.00 ","$5,073.00 ",1886.00,4.25
2006.5,2006,3,"$7,603.00 ","$5,576.00 ",2027.00,4.5
2006.75,2006,4,"$8,473.00 ","$6,355.00 ",2118.00,4.75
2007,2007,1,"$12,899.00 ","$9,652.00 ",3247.00,5
2007.25,2007,2,"$7,927.00 ","$5,900.00 ",2027.00,5.25
2007.5,2007,3,"$8,750.00 ","$6,467.00 ",2283.00,5.5
2007.75,2007,4,"$9,928.00 ","$7,451.00 ",2477.00,5.75
2008,2008,1,"$13,418.00 ","$10,079.00 ",3339.00,6
2008.25,2008,2,"$8,990.00 ","$6,704.00 ",2286.00,6.25
2008.5,2008,3,"$9,801.00 ","$7,260.00 ",2541.00,6.5
2008.75,2008,4,"$11,500.00 ","$8,390.00 ",3110.00,6.75
2009,2009,1,"$14,724.00 ","$10,870.00 ",3854.00,7
2009.25,2009,2,"$10,095.00 ","$7,321.00 ",2774.00,7.25
2009.5,2009,3,"$11,022.00 ","$8,106.00 ",2916.00,7.5
2009.75,2009,4,"$12,024.00 ","$8,851.00 ",3173.00,7.75
2010,2010,1,"$16,553.00 ","$12,330.00 ",4223.00,8
2010.25,2010,2,"$10,787.00 ","$7,751.00 ",3036.00,8.25
2010.5,2010,3,"$11,339.00 ","$8,183.00 ",3156.00,8.5
2010.75,2010,4,"$11,890.00 ","$8,657.00 ",3233.00,8.75
2011,2011,1,"$16,256.00 ","$12,042.00 ",4214.00,9
2011.25,2011,2,"$10,940.00 ","$7,936.00 ",3004.00,9.25
2011.5,2011,3,"$11,347.00 ","$8,236.00 ",3111.00,9.5
2011.75,2011,4,"$11,788.00 ","$8,681.00 ",3107.00,9.75
2012,2012,1,"$16,630.00 ","$12,315.00 ",4315.00,10
2012.25,2012,2,,,,10.25
2012.5,2012,3,,,,10.5
2012.75,2012,4,,,,10.75
