Date,Instructor_ID,Class_Type,Time_Slot,Session_Duration,3Day_Free_Trial,Subscribers,Pay_Per_Session,Evaluation_Score
2024-01-01,INST016,Yoga,Evening,30MIN,3,10,2,3.75
2024-01-01,INST016,Hip Hop,Morning,30MIN,7,2,12,3.81
2024-01-01,INST016,Yoga,Afternoon,75MIN,0,21,9,3.9
2024-01-01,INST016,Hip Hop,Evening,45MIN,1,13,3,3.77
2024-01-01,INST016,B.L.T.,Morning,75MIN,5,9,6,3.8
2024-01-01,INST016,Hip Hop,Early Morning,15MIN,5,1,11,3.77
2024-01-01,INST005,TRX Circuit Party,Morning,60MIN,1,18,26,3.93
2024-01-01,INST005,TRX Circuit Party,Evening,60MIN,7,11,11,3.77
2024-01-01,INST005,Aerobics,Afternoon,75MIN,8,20,13,3.89
2024-01-01,INST018,Muscle and Hustle,Afternoon,45MIN,1,23,11,4.11
2024-01-01,INST018,Muscle and Hustle,Afternoon,60MIN,8,28,12,4.24
2024-01-01,INST018,Muscle and Hustle,Evening,15MIN,0,24,10,4.1
2024-01-01,INST017,Muscle and Hustle,Morning,75MIN,8,7,6,3.81
2024-01-01,INST017,Muscle and Hustle,Morning,30MIN,2,16,9,3.87
2024-01-01,INST017,Pilates,Morning,75MIN,2,16,5,3.83
2024-01-01,INST017,Muscle and Hustle,Early Morning,75MIN,4,41,10,4.15
2024-01-01,INST002,B.L.T.,Early Morning,15MIN,6,8,38,4.36
2024-01-01,INST002,B.L.T.,Afternoon,30MIN,1,0,25,4.1
2024-01-01,INST002,B.L.T.,Morning,75MIN,7,18,20,4.29
2024-01-01,INST002,B.L.T.,Early Morning,60MIN,7,24,30,4.45
2024-01-01,INST002,B.L.T.,Morning,30MIN,2,20,28,4.34
2024-01-01,INST010,B.L.T.,Afternoon,75MIN,4,46,6,4.04
2024-01-01,INST010,Myobility,Morning,75MIN,2,0,27,3.77
2024-01-01,INST010,B.L.T.,Afternoon,60MIN,9,6,2,3.65
2024-01-01,INST010,Myobility,Evening,75MIN,6,8,15,3.77
2024-01-01,INST010,Myobility,Early Morning,30MIN,9,9,12,3.78
2024-01-01,INST010,B.L.T.,Early Morning,45MIN,2,6,20,3.76
2024-01-01,INST003,B.L.T.,Morning,15MIN,3,29,15,3.55
2024-01-01,INST003,TRX Circuit Party,Early Morning,30MIN,6,14,16,3.44
2024-01-01,INST003,TRX Circuit Party,Early Morning,45MIN,3,10,12,3.33
2024-01-01,INST007,Aerobics,Morning,45MIN,6,21,20,3.55
2024-01-01,INST007,Aerobics,Evening,30MIN,1,5,36,3.5
2024-01-01,INST007,Aerobics,Morning,75MIN,3,29,10,3.5
2024-01-01,INST006,B.L.T.,Morning,60MIN,9,6,7,3.46
2024-01-01,INST006,B.L.T.,Morning,15MIN,8,32,4,3.68
2024-01-01,INST006,Hip Hop,Evening,45MIN,8,0,1,3.33
2024-01-01,INST006,B.L.T.,Evening,60MIN,8,12,23,3.67
2024-01-01,INST006,Hip Hop,Early Morning,15MIN,6,5,1,3.36
2024-01-01,INST006,B.L.T.,Afternoon,15MIN,8,4,6,3.42
2024-01-01,INST006,TRX Circuit Party,Morning,30MIN,2,20,29,3.75
2024-01-01,INST012,Yoga,Morning,60MIN,5,29,8,3.9
2024-01-01,INST012,Hip Hop,Afternoon,60MIN,7,40,5,4
2024-01-01,INST012,Hip Hop,Early Morning,60MIN,6,1,19,3.74
2024-01-01,INST012,Meditation,Early Morning,75MIN,0,10,5,3.63
2024-01-01,INST012,Meditation,Early Morning,30MIN,0,23,10,3.81
2024-01-01,INST012,Hip Hop,Evening,60MIN,5,6,2,3.61
2024-01-01,INST012,Yoga,Morning,60MIN,0,36,16,4
2024-01-01,INST004,B.L.T.,Evening,15MIN,1,25,15,4.37
2024-01-01,INST004,Hip Hop,Afternoon,60MIN,5,31,22,4.54
2024-01-01,INST004,Hip Hop,Evening,75MIN,6,10,6,4.18
2024-01-01,INST001,Aerobics,Morning,45MIN,5,23,10,4.26
2024-01-01,INST001,Aerobics,Early Morning,75MIN,3,1,18,4.1
2024-01-01,INST001,B.L.T.,Afternoon,15MIN,5,10,9,4.12
2024-01-01,INST001,B.L.T.,Evening,75MIN,0,8,29,4.25
2024-01-01,INST001,Aerobics,Early Morning,75MIN,2,19,3,4.12
2024-01-01,INST001,B.L.T.,Morning,15MIN,9,2,29,4.28
2024-01-01,INST020,Boxing,Morning,60MIN,3,16,22,4.33
2024-01-01,INST020,Boxing,Morning,75MIN,3,10,12,4.17
2024-01-01,INST020,Boxing,Early Morning,60MIN,7,23,29,4.51
2024-01-01,INST020,Hip Hop,Afternoon,30MIN,7,0,33,4.32
2024-01-01,INST020,Hip Hop,Morning,45MIN,8,17,6,4.23
2024-01-01,INST020,B.L.T.,Morning,45MIN,9,34,3,4.38
2024-01-01,INST020,B.L.T.,Afternoon,15MIN,9,15,1,4.17
2024-01-01,INST019,B.L.T.,Early Morning,15MIN,0,11,2,3.61
2024-01-01,INST019,Meditation,Afternoon,30MIN,4,11,2,3.65
