Table 2: Instructor Pay Info,,,,,
,,,,,
Years_of_Experience,15MIN,30MIN,45MIN,60MIN,75MIN
0,21.55,29.09,34.48,37.71,43.1
1,22.41,30.26,35.86,39.22,44.82
2,23.31,31.47,37.29,40.79,46.62
3,24.24,32.73,38.79,42.42,48.48
4,25.21,34.03,40.34,44.12,50.42
5,26.22,35.4,41.95,45.88,52.44
6,27.27,36.81,43.63,47.72,54.54
7,28.36,38.28,45.37,49.63,56.72
8,29.49,39.82,47.19,51.61,58.99
9,30.67,41.41,49.08,53.68,61.34
10,31.9,43.06,51.04,55.82,63.8
11,33.18,44.79,53.08,58.06,66.35
12,34.5,46.58,55.2,60.38,69
13,35.88,48.44,57.41,62.79,71.76
14,37.32,50.38,59.71,65.31,74.64
15,38.81,52.39,62.1,67.92,77.62
16,40.36,54.49,64.58,70.63,80.73
17,41.98,56.67,67.16,73.46,83.95
18,43.66,58.94,69.85,76.4,87.31
19,45.4,61.29,72.64,79.45,90.81
20,47.22,63.75,75.55,82.63,94.44
21,49.11,66.3,78.57,85.94,98.21
22,51.07,68.95,81.71,89.38,102.14
23,53.11,71.7,84.98,92.95,106.23
24,55.24,74.57,88.38,96.67,110.48
25,57.45,77.56,91.92,100.54,114.9
26,59.75,80.66,95.59,104.56,119.49
27,62.14,83.88,99.42,108.74,124.27
28,64.62,87.24,103.4,113.09,129.24
29,67.21,90.73,107.53,117.61,134.41
