Table 1: Instructor Demographics,,,
,,,
Instructor_ID,Instructor_Age,Gender,Years_of_Experience
INST001,40,Female,22
INST002,44,Female,21
INST003,53,Male,2
INST004,42,Male,24
INST005,35,Male,12
INST006,32,Male,6
INST007,53,Male,2
INST008,45,Male,21
INST009,31,Male,1
INST010,50,Male,12
INST011,43,Female,22
INST012,47,Female,12
INST013,35,Male,17
INST014,35,Female,10
INST015,48,Female,16
INST016,45,Female,15
INST017,33,Female,15
INST018,37,Male,19
INST019,48,Female,12
INST020,41,Male,23
