Year,Date & Time
1917,April 30 at 11:30 AM
1918,May 11 at 9:33 AM
1919,May 3 at 2:33 PM
1920,May 11 at 10:46 AM
1921,May 11 at 6:42 AM
1922,May 12 at 1:20 PM
1923,May 9 at 2:00 AM
1924,May 11 at 3:10 PM
1925,May 7 at 6:32 PM
1926,April 26 at 4:03 PM
1927,May 13 at 5:42 AM
1928,May 6 at 4:25 PM
1929,May 5 at 3:41 PM
1930,May 8 at 7:03 PM
1931,May 10 at 9:23 AM
1932,May 1 at 10:15 AM
1933,May 8 at 7:30 PM
1934,April 30 at 2:07 PM
1935,May 15 at 1:32 PM
1936,April 30 at 12:58 PM
1937,May 12 at 8:04 PM
1938,May 6 at 8:14 PM
1939,April 29 at 1:26 PM
1940,April 20 at 3:27 PM
1941,May 3 at 1:50 AM
1942,April 30 at 1:28 PM
1943,April 28 at 7:22 PM
1944,May 4 at 2:08 PM
1945,May 16 at 9:41 AM
1946,May 5 at 4:40 PM
1947,May 3 at 5:53 PM
1948,May 13 at 11:13 AM
1949,May 14 at 12:39 PM
1950,May 6 at 4:14 PM
1951,April 30 at 5:54 PM
1952,May 12 at 5:04 PM
1953,April 29 at 3:54 PM
1954,May 6 at 6:01 PM
1955,May 9 at 2:13 PM
1956,May 1 at 11:24 PM
1957,May 5 at 9:30 AM
1958,April 29 at 2:56 PM
1959,May 8 at 11:26 AM
1960,May 2 at 7:12 PM
1961,May 5 at 11:31 AM
1962,May 12 at 11:23 PM
1963,May 5 at 6:25 PM
1964,May 20 at 11:41 AM
1965,May 7 at 7:01 PM
1966,May 8 at 12:11 PM
1967,May 4 at 11:55 AM
1968,May 8 at 9:26 AM
1969,April 28 at 12:28 PM
1970,May 4 at 10:37 AM
1971,May 8 at 9:31 PM
1972,May 10 at 11:56 AM
1973,May 4 at 11:59 AM
1974,May 6 at 3:44 PM
1975,May 10 at 1:49 PM
1976,May 2 at 10:51 AM
1977,May 6 at 12:46 PM
1978,April 30 at 3:18 PM
1979,April 30 at 6:16 PM
1980,April 29 at 1:16 PM
1981,April 30 at 6:44 PM
1982,May 10 at 5:36 PM
1983,April 29 at 6:37 PM
1984,May 9 at 3:33 PM
1985,May 11 at 2:36 PM
1986,May 8 at 10:50 PM
1987,May 5 at 3:11 PM
1988,April 27 at 9:15 AM
1989,May 1 at 8:14 PM
1990,April 24 at 5:19 PM
1991,May 1 at 12:04 AM
1992,May 14 at 6:26 AM
1993,April 23 at 1:01 PM
1994,April 29 at 11:01 PM
1995,April 26 at 1:22 PM
1996,May 5 at 12:32 PM
1997,April 30 at 10:28 AM
1998,April 20 at 4:54 PM
1999,April 29 at 9:47 PM
2000,May 1 at 10:47 AM
2001,May 8 at 1:00 PM
2002,May 7 at 9:27 PM
2003,April 29 at 6:22 PM
2004,April 24 at 2:16 PM
2005,April 28 at 12:01 PM
2006,May 2 at 5:29 PM
2007,April 27 at 3:47 PM
2008,May 6 at 10:53 PM
2009,May 1 at 8:41 PM
2010,April 29 at 9:06 AM
2011,May 4 at 4:24 PM
2012,April 23 at 7:39 PM
2013,May 20 at 2:41 PM
2014,April 25 at 3:48 PM
2015,April 24 at 2:25 PM
2016,April 23 at 3:39 PM
2017,May 1 at 12:00 PM
2018,May 1 at 1:18 PM
2019,April 14 at 12:21 AM
2020,April 27 at 12:56 PM
2021,April 30 at 12:50 PM
