Date,Factory,Market,Units
3/1/2012,Austin,Australia,107
3/1/2012,Austin,Brazil,235
3/1/2012,Austin,Canada,165
3/1/2012,Austin,China,86
3/1/2012,Austin,France,81
3/1/2012,Austin,Germany,175
3/1/2012,Austin,India,53
3/1/2012,Austin,Indonesia,85
3/1/2012,Austin,Iran,56
3/1/2012,Austin,Italy,166
3/1/2012,Austin,Japan,46
3/1/2012,Austin,Mexico,193
3/1/2012,Austin,Netherlands,220
3/1/2012,Austin,Poland,119
3/1/2012,Austin,Russia,182
3/1/2012,Austin,South Korea,158
3/1/2012,Austin,Spain,99
3/1/2012,Austin,Taiwan,38
3/1/2012,Austin,Turkey,153
3/1/2012,Austin,United Kingdom,191
3/1/2012,Baltimore,Australia,130
3/1/2012,Baltimore,Brazil,87
3/1/2012,Baltimore,Canada,88
3/1/2012,Baltimore,China,222
3/1/2012,Baltimore,France,65
3/1/2012,Baltimore,Germany,244
3/1/2012,Baltimore,India,120
3/1/2012,Baltimore,Indonesia,183
3/1/2012,Baltimore,Iran,288
3/1/2012,Baltimore,Italy,243
3/1/2012,Baltimore,Japan,274
3/1/2012,Baltimore,Mexico,68
3/1/2012,Baltimore,Netherlands,157
3/1/2012,Baltimore,Poland,240
3/1/2012,Baltimore,Russia,70
3/1/2012,Baltimore,South Korea,236
3/1/2012,Baltimore,Spain,49
3/1/2012,Baltimore,Taiwan,23
3/1/2012,Baltimore,Turkey,145
3/1/2012,Baltimore,United Kingdom,219
3/1/2012,Boston,Australia,233
3/1/2012,Boston,Brazil,83
3/1/2012,Boston,Canada,159
3/1/2012,Boston,China,212
3/1/2012,Boston,France,167
3/1/2012,Boston,Germany,193
3/1/2012,Boston,India,244
3/1/2012,Boston,Indonesia,284
3/1/2012,Boston,Iran,29
3/1/2012,Boston,Italy,272
3/1/2012,Boston,Japan,257
3/1/2012,Boston,Mexico,63
3/1/2012,Boston,Netherlands,289
3/1/2012,Boston,Poland,113
3/1/2012,Boston,Russia,141
3/1/2012,Boston,South Korea,138
3/1/2012,Boston,Spain,62
3/1/2012,Boston,Taiwan,128
3/1/2012,Boston,Turkey,172
3/1/2012,Boston,United Kingdom,36
3/1/2012,Charlotte,Australia,288
3/1/2012,Charlotte,Brazil,124
3/1/2012,Charlotte,Canada,291
3/1/2012,Charlotte,China,54
3/1/2012,Charlotte,France,75
3/1/2012,Charlotte,Germany,274
3/1/2012,Charlotte,India,73
3/1/2012,Charlotte,Indonesia,226
3/1/2012,Charlotte,Iran,221
3/1/2012,Charlotte,Italy,269
3/1/2012,Charlotte,Japan,187
3/1/2012,Charlotte,Mexico,88
3/1/2012,Charlotte,Netherlands,68
3/1/2012,Charlotte,Poland,267
3/1/2012,Charlotte,Russia,243
3/1/2012,Charlotte,South Korea,132
3/1/2012,Charlotte,Spain,284
3/1/2012,Charlotte,Taiwan,40
3/1/2012,Charlotte,Turkey,176
3/1/2012,Charlotte,United Kingdom,222
3/1/2012,Chicago,Australia,123
3/1/2012,Chicago,Brazil,74
3/1/2012,Chicago,Canada,300
3/1/2012,Chicago,China,25
3/1/2012,Chicago,France,186
3/1/2012,Chicago,Germany,287
3/1/2012,Chicago,India,243
3/1/2012,Chicago,Indonesia,213
3/1/2012,Chicago,Iran,110
3/1/2012,Chicago,Italy,87
3/1/2012,Chicago,Japan,64
3/1/2012,Chicago,Mexico,238
3/1/2012,Chicago,Netherlands,98
3/1/2012,Chicago,Poland,199
3/1/2012,Chicago,Russia,202
3/1/2012,Chicago,South Korea,168
3/1/2012,Chicago,Spain,177
3/1/2012,Chicago,Taiwan,233
3/1/2012,Chicago,Turkey,194
3/1/2012,Chicago,United Kingdom,172
3/1/2012,Columbus,Australia,182
3/1/2012,Columbus,Brazil,65
3/1/2012,Columbus,Canada,21
3/1/2012,Columbus,China,91
3/1/2012,Columbus,France,103
3/1/2012,Columbus,Germany,218
3/1/2012,Columbus,India,264
3/1/2012,Columbus,Indonesia,244
3/1/2012,Columbus,Iran,230
3/1/2012,Columbus,Italy,35
3/1/2012,Columbus,Japan,63
3/1/2012,Columbus,Mexico,101
3/1/2012,Columbus,Netherlands,256
3/1/2012,Columbus,Poland,282
3/1/2012,Columbus,Russia,195
3/1/2012,Columbus,South Korea,108
3/1/2012,Columbus,Spain,154
3/1/2012,Columbus,Taiwan,85
3/1/2012,Columbus,Turkey,216
3/1/2012,Columbus,United Kingdom,188
3/1/2012,Dallas,Australia,229
3/1/2012,Dallas,Brazil,201
3/1/2012,Dallas,Canada,147
3/1/2012,Dallas,China,251
3/1/2012,Dallas,France,296
3/1/2012,Dallas,Germany,242
3/1/2012,Dallas,India,97
3/1/2012,Dallas,Indonesia,149
3/1/2012,Dallas,Iran,155
3/1/2012,Dallas,Italy,59
3/1/2012,Dallas,Japan,141
3/1/2012,Dallas,Mexico,157
3/1/2012,Dallas,Netherlands,44
3/1/2012,Dallas,Poland,189
3/1/2012,Dallas,Russia,263
3/1/2012,Dallas,South Korea,212
3/1/2012,Dallas,Spain,126
3/1/2012,Dallas,Taiwan,135
3/1/2012,Dallas,Turkey,73
3/1/2012,Dallas,United Kingdom,20
3/1/2012,Denver,Australia,123
3/1/2012,Denver,Brazil,246
3/1/2012,Denver,Canada,233
3/1/2012,Denver,China,49
3/1/2012,Denver,France,148
3/1/2012,Denver,Germany,58
3/1/2012,Denver,India,215
3/1/2012,Denver,Indonesia,257
3/1/2012,Denver,Iran,265
3/1/2012,Denver,Italy,124
3/1/2012,Denver,Japan,71
3/1/2012,Denver,Mexico,44
3/1/2012,Denver,Netherlands,253
3/1/2012,Denver,Poland,249
3/1/2012,Denver,Russia,172
3/1/2012,Denver,South Korea,62
3/1/2012,Denver,Spain,141
3/1/2012,Denver,Taiwan,46
3/1/2012,Denver,Turkey,266
3/1/2012,Denver,United Kingdom,291
3/1/2012,Detroit,Australia,242
3/1/2012,Detroit,Brazil,97
3/1/2012,Detroit,Canada,86
3/1/2012,Detroit,China,208
3/1/2012,Detroit,France,244
3/1/2012,Detroit,Germany,130
3/1/2012,Detroit,India,218
3/1/2012,Detroit,Indonesia,240
3/1/2012,Detroit,Iran,236
3/1/2012,Detroit,Italy,200
3/1/2012,Detroit,Japan,178
3/1/2012,Detroit,Mexico,113
3/1/2012,Detroit,Netherlands,194
3/1/2012,Detroit,Poland,101
3/1/2012,Detroit,Russia,161
3/1/2012,Detroit,South Korea,32
3/1/2012,Detroit,Spain,91
3/1/2012,Detroit,Taiwan,202
3/1/2012,Detroit,Turkey,153
3/1/2012,Detroit,United Kingdom,225
3/1/2012,El Paso,Australia,228
3/1/2012,El Paso,Brazil,226
3/1/2012,El Paso,Canada,290
3/1/2012,El Paso,China,118
3/1/2012,El Paso,France,158
3/1/2012,El Paso,Germany,298
3/1/2012,El Paso,India,117
3/1/2012,El Paso,Indonesia,70
3/1/2012,El Paso,Iran,129
3/1/2012,El Paso,Italy,22
3/1/2012,El Paso,Japan,259
3/1/2012,El Paso,Mexico,58
3/1/2012,El Paso,Netherlands,292
3/1/2012,El Paso,Poland,43
3/1/2012,El Paso,Russia,65
3/1/2012,El Paso,South Korea,218
3/1/2012,El Paso,Spain,133
3/1/2012,El Paso,Taiwan,136
3/1/2012,El Paso,Turkey,72
3/1/2012,El Paso,United Kingdom,254
3/1/2012,Fort Worth,Australia,250
3/1/2012,Fort Worth,Brazil,171
3/1/2012,Fort Worth,Canada,53
3/1/2012,Fort Worth,China,111
3/1/2012,Fort Worth,France,48
3/1/2012,Fort Worth,Germany,42
3/1/2012,Fort Worth,India,43
3/1/2012,Fort Worth,Indonesia,281
3/1/2012,Fort Worth,Iran,111
3/1/2012,Fort Worth,Italy,189
3/1/2012,Fort Worth,Japan,60
3/1/2012,Fort Worth,Mexico,42
3/1/2012,Fort Worth,Netherlands,199
3/1/2012,Fort Worth,Poland,94
3/1/2012,Fort Worth,Russia,135
3/1/2012,Fort Worth,South Korea,54
3/1/2012,Fort Worth,Spain,266
3/1/2012,Fort Worth,Taiwan,164
3/1/2012,Fort Worth,Turkey,200
3/1/2012,Fort Worth,United Kingdom,46
3/1/2012,Houston,Australia,115
3/1/2012,Houston,Brazil,64
3/1/2012,Houston,Canada,22
3/1/2012,Houston,China,222
3/1/2012,Houston,France,281
3/1/2012,Houston,Germany,167
3/1/2012,Houston,India,50
3/1/2012,Houston,Indonesia,32
3/1/2012,Houston,Iran,154
3/1/2012,Houston,Italy,25
3/1/2012,Houston,Japan,99
3/1/2012,Houston,Mexico,206
3/1/2012,Houston,Netherlands,177
3/1/2012,Houston,Poland,24
3/1/2012,Houston,Russia,300
3/1/2012,Houston,South Korea,278
3/1/2012,Houston,Spain,109
3/1/2012,Houston,Taiwan,72
