Date,Revenue
4/30/1995,20.4
7/31/1995,22.7
10/31/1995,22.9
1/31/1996,27.6
4/30/1996,22.8
7/31/1996,25.6
10/31/1996,25.6
1/31/1997,30.9
4/30/1997,25.4
7/31/1997,28.4
10/31/1997,28.8
1/31/1998,35.4
4/30/1998,29.8
7/31/1998,33.5
10/31/1998,33.5
1/31/1999,40.8
4/30/1999,34.7
7/31/1999,38.5
10/31/1999,40.4
1/31/2000,51.4
4/30/2000,43
7/31/2000,46.1
10/31/2000,45.7
1/31/2001,56.6
4/30/2001,48.1
7/31/2001,52.8
10/31/2001,52.7
1/31/2002,64.2
4/30/2002,55
7/31/2002,59.7
10/31/2002,58.8
1/31/2003,71.1
4/30/2003,56.7
7/31/2003,62.6
10/31/2003,62.5
1/31/2004,74.5
4/30/2004,64.8
7/31/2004,69.7
10/31/2004,68.5
1/31/2005,82.2
4/30/2005,70
7/31/2005,75.9
10/31/2005,74.6
1/31/2006,88.4
4/30/2006,78.8
7/31/2006,84.5
10/31/2006,83.5
1/31/2007,98.1
4/30/2007,85.4
7/31/2007,92
10/31/2007,90.9
1/31/2008,106.3
