Period,Value
Jan-92,1509
Feb-92,1541
Mar-92,1597
Apr-92,1675
May-92,1822
Jun-92,1775
Jul-92,1912
Aug-92,1862
Sep-92,1770
Oct-92,1882
Nov-92,1831
Dec-92,2511
Jan-93,1614
Feb-93,1529
Mar-93,1678
Apr-93,1713
May-93,1796
Jun-93,1792
Jul-93,1950
Aug-93,1777
Sep-93,1707
Oct-93,1757
Nov-93,1782
Dec-93,2443
Jan-94,1548
Feb-94,1505
Mar-94,1714
Apr-94,1757
May-94,1830
Jun-94,1857
Jul-94,1981
Aug-94,1858
Sep-94,1823
Oct-94,1806
Nov-94,1845
Dec-94,2577
Jan-95,1555
Feb-95,1501
Mar-95,1725
Apr-95,1699
May-95,1807
Jun-95,1863
Jul-95,1886
Aug-95,1861
Sep-95,1845
Oct-95,1788
Nov-95,1879
Dec-95,2598
Jan-96,1679
Feb-96,1652
Mar-96,1837
Apr-96,1798
May-96,1957
Jun-96,1958
Jul-96,2034
Aug-96,2062
Sep-96,1781
Oct-96,1860
Nov-96,1992
Dec-96,2547
Jan-97,1706
Feb-97,1621
Mar-97,1853
Apr-97,1817
May-97,2060
Jun-97,2002
Jul-97,2098
Aug-97,2079
Sep-97,1892
Oct-97,2050
Nov-97,2082
Dec-97,2821
Jan-98,1846
Feb-98,1768
Mar-98,1894
Apr-98,1963
May-98,2140
Jun-98,2059
Jul-98,2209
Aug-98,2118
Sep-98,2031
Oct-98,2163
Nov-98,2154
Dec-98,3037
Jan-99,1866
Feb-99,1808
Mar-99,1986
Apr-99,2099
May-99,2210
Jun-99,2145
Jul-99,2339
Aug-99,2140
Sep-99,2126
Oct-99,2219
Nov-99,2273
Dec-99,3265
Jan-00,1920
Feb-00,1976
Mar-00,2190
Apr-00,2132
May-00,2357
Jun-00,2413
Jul-00,2463
Aug-00,2422
Sep-00,2358
Oct-00,2352
Nov-00,2549
Dec-00,3375
Jan-01,2109
Feb-01,2052
Mar-01,2327
Apr-01,2231
May-01,2470
Jun-01,2526
Jul-01,2483
Aug-01,2518
Sep-01,2316
Oct-01,2409
Nov-01,2638
Dec-01,3542
Jan-02,2114
Feb-02,2109
Mar-02,2366
Apr-02,2300
May-02,2569
Jun-02,2486
Jul-02,2568
Aug-02,2595
Sep-02,2297
Oct-02,2401
Nov-02,2601
Dec-02,3488
Jan-03,2121
Feb-03,2046
Mar-03,2273
Apr-03,2333
May-03,2576
Jun-03,2433
Jul-03,2611
Aug-03,2660
Sep-03,2461
Oct-03,2641
Nov-03,2660
Dec-03,3654
Jan-04,2293
Feb-04,2219
Mar-04,2398
Apr-04,2553
May-04,2685
Jun-04,2643
Jul-04,2867
Aug-04,2622
Sep-04,2618
Oct-04,2727
Nov-04,2763
Dec-04,3801
Jan-05,2219
Feb-05,2316
Mar-05,2530
Apr-05,2640
May-05,2709
Jun-05,2783
Jul-05,2924
Aug-05,2791
Sep-05,2784
Oct-05,2801
Nov-05,2933
Dec-05,4137
Jan-06,2424
Feb-06,2519
Mar-06,2753
Apr-06,2791
May-06,3017
Jun-06,3055
Jul-06,3117
Aug-06,3024
Sep-06,2997
Oct-06,2913
Nov-06,3137
Dec-06,4269
Jan-07,2569
Feb-07,2603
Mar-07,3005
Apr-07,2867
May-07,3262
Jun-07,3364
Jul-07,3322
Aug-07,3292
Sep-07,3057
Oct-07,3087
Nov-07,3297
Dec-07,4403
Jan-08,2675
Feb-08,2806
Mar-08,2989
Apr-08,2997
May-08,3420
Jun-08,3279
Jul-08,3517
Aug-08,3472
Sep-08,3151
Oct-08,3351
Nov-08,3386
Dec-08,4461
Jan-09,2913
Feb-09,2781
Mar-09,3024
Apr-09,3130
May-09,3467
Jun-09,3307
Jul-09,3555
Aug-09,3399
Sep-09,3263
Oct-09,3425
Nov-09,3356
Dec-09,4625
Jan-10,2878
Feb-10,2916
Mar-10,3214
Apr-10,3310
May-10,3467
Jun-10,3438
Jul-10,3657
Aug-10,3454
Sep-10,3365
Oct-10,3497
Nov-10,3524
Dec-10,4681
Jan-11,2888
Feb-11,2984
Mar-11,3249
Apr-11,3363
May-11,3471
Jun-11,3551
Jul-11,3740
Aug-11,3576
Sep-11,3517
Oct-11,3515
Nov-11,3646
Dec-11,4892
Jan-12,2995
Feb-12,3202
Mar-12,3550
Apr-12,3409
May-12,3786
Jun-12,3816
Jul-12,3733
Aug-12,3752
Sep-12,3503
Oct-12,3626
Nov-12,3869
Dec-12,5124
Jan-13,3155
Feb-13,3227
Mar-13,3624
Apr-13,3488
May-13,3947
Jun-13,3809
Jul-13,4034
Aug-13,4100
Sep-13,3631
Oct-13,3787
Nov-13,4059
Dec-13,5215
Jan-14,3381
Feb-14,3310
Mar-14,3652
Apr-14,3702
May-14,4165
Jun-14,4036
Jul-14,4242
Aug-14,4219
Sep-14,3814
Oct-14,4090
Nov-14,4103
Dec-14,5572
Jan-15,3572
Feb-15,3482
Mar-15,3857
Apr-15,3867
May-15,4335
Jun-15,4217
Jul-15,4532
Aug-15,4260
Sep-15,4073
Oct-15,4273
Nov-15,4266
Dec-15,5816
Jan-16,3607
Feb-16,3769
Mar-16,4045
Apr-16,4108
May-16,4396
Jun-16,4468
Jul-16,4745
Aug-16,4475
Sep-16,4431
Oct-16,4436
Nov-16,4676
Dec-16,6057
Jan-17,3740
Feb-17,3774
Mar-17,4266
Apr-17,4273
May-17,4673
Jun-17,4703
Jul-17,4828
Aug-17,4677
Sep-17,4568
Oct-17,4567
Nov-17,4879
Dec-17,6284
Jan-18,3991
Feb-18,3992
Mar-18,4670
Apr-18,4362
May-18,4950
Jun-18,4990
Jul-18,5011
Aug-18,4945
Sep-18,4650
Oct-18,4789
Nov-18,5176
Dec-18,6442
Jan-19,4134
Feb-19,4116
Mar-19,4673
Apr-19,4580
May-19,5109
Jun-19,5011
Jul-19,5245
