Category: All categories

Month,freedom: (United States),choice: (United States)
2004-01,66,55
2004-02,67,52
2004-03,60,53
2004-04,66,55
2004-05,68,55
2004-06,57,51
2004-07,62,51
2004-08,54,57
2004-09,65,55
2004-10,64,57
2004-11,56,52
2004-12,57,49
2005-01,61,57
2005-02,67,61
2005-03,59,53
2005-04,63,52
2005-05,65,55
2005-06,65,49
2005-07,61,54
2005-08,52,58
2005-09,60,48
2005-10,58,48
2005-11,56,51
2005-12,51,45
2006-01,56,56
2006-02,60,49
2006-03,58,55
2006-04,62,60
2006-05,67,50
2006-06,60,48
2006-07,56,51
2006-08,52,68
2006-09,60,47
2006-10,57,51
2006-11,52,46
2006-12,53,45
2007-01,73,56
2007-02,64,51
2007-03,57,57
2007-04,63,56
2007-05,66,50
2007-06,61,51
2007-07,56,53
2007-08,53,59
2007-09,63,52
2007-10,56,50
2007-11,53,50
2007-12,51,45
2008-01,57,57
2008-02,55,53
2008-03,58,58
2008-04,59,54
2008-05,58,52
2008-06,57,54
2008-07,53,53
2008-08,49,65
2008-09,56,52
2008-10,57,52
2008-11,58,50
2008-12,51,48
2009-01,59,62
2009-02,58,53
2009-03,56,64
2009-04,58,58
2009-05,55,51
2009-06,55,52
2009-07,57,52
2009-08,51,73
2009-09,52,47
2009-10,51,48
2009-11,53,47
2009-12,51,45
2010-01,52,55
2010-02,52,50
2010-03,55,62
2010-04,56,53
2010-05,55,51
2010-06,50,55
2010-07,49,51
2010-08,48,62
2010-09,52,47
2010-10,48,45
2010-11,49,47
2010-12,45,45
2011-01,52,60
2011-02,58,53
2011-03,54,61
2011-04,55,62
2011-05,59,56
2011-06,54,57
2011-07,53,57
2011-08,50,70
2011-09,58,51
2011-10,54,52
2011-11,51,53
2011-12,48,49
2012-01,52,62
2012-02,56,54
2012-03,54,62
2012-04,54,63
2012-05,56,59
2012-06,51,61
2012-07,52,73
2012-08,49,52
2012-09,56,52
2012-10,51,51
2012-11,54,49
2012-12,50,47
2013-01,53,58
2013-02,56,54
2013-03,54,64
2013-04,56,55
2013-05,56,58
2013-06,56,52
2013-07,55,58
2013-08,51,74
2013-09,56,51
2013-10,54,53
2013-11,54,51
2013-12,54,49
2014-01,56,58
2014-02,59,55
2014-03,57,67
2014-04,57,60
2014-05,59,61
2014-06,58,57
2014-07,59,57
2014-08,50,76
2014-09,57,55
2014-10,56,55
2014-11,55,51
2014-12,53,51
2015-01,54,62
2015-02,55,58
2015-03,66,70
2015-04,66,61
2015-05,61,59
2015-06,62,63
2015-07,62,64
2015-08,53,77
2015-09,62,57
2015-10,64,55
2015-11,68,54
2015-12,60,55
2016-01,58,81
2016-02,64,100
2016-03,60,76
2016-04,63,71
2016-05,61,75
2016-06,59,65
2016-07,65,71
2016-08,51,65
2016-09,59,60
2016-10,55,62
2016-11,66,61
2016-12,54,60
2017-01,66,71
2017-02,62,68
2017-03,65,72
2017-04,60,67
2017-05,60,64
2017-06,55,63
2017-07,58,74
2017-08,53,74
2017-09,55,59
2017-10,56,61
2017-11,56,59
2017-12,51,61
2018-01,55,63
2018-02,60,64
2018-03,59,70
2018-04,60,67
2018-05,59,71
2018-06,55,64
2018-07,56,62
2018-08,52,67
2018-09,54,60
2018-10,55,64
2018-11,53,68
2018-12,47,58
2019-01,50,67
2019-02,55,62
2019-03,53,69
2019-04,59,64
2019-05,57,65
2019-06,53,63
2019-07,57,60
2019-08,50,64
2019-09,54,60
2019-10,54,60
2019-11,48,65
2019-12,45,58
2020-01,52,66
2020-02,65,65
2020-03,55,60
2020-04,54,59
2020-05,58,60
2020-06,59,58
2020-07,56,61
2020-08,52,62
2020-09,58,64
2020-10,53,68
2020-11,49,63
2020-12,46,56
2021-01,55,55
2021-02,51,63
2021-03,51,68
