Date,Start_station,End_station,Duration,Bike_ID
12/13/2019,Westlawn / Vista,Culver / Charnock,26,506
9/16/2019,Wilcox / Vista,Runway / Rowena,23,464
11/16/2019,Wilcox / Vista,Runway / Rowena,19,503
11/24/2019,Playa / Olympic,Playa / Olympic,7,544
11/13/2019,Westlawn / Vista,Westlawn / Vista,4,402
11/14/2019,Runway / Rowena,Wilcox / Vista,22,503
9/6/2019,Vista / Virgil,Runway / Rowena,4,338
9/13/2019,Westlawn / Vista,Vermont / Venice,11,541
12/7/2019,Figueroa / Durango,Exposition / Culver,5,354
11/12/2019,Exposition / Culver,Exposition / Culver,2,376
9/17/2019,Exposition / Culver,Runway / Rowena,19,376
10/20/2019,Runway / Rowena,Playa / Overland,14,271
12/18/2019,Inglewood / Hollywood,Beatrice / Ardmore,15,84
10/16/2019,Runway / Rowena,Playa / Overland,13,376
9/10/2019,Fountain / Durango,Runway / Rowena,14,415
12/8/2019,Charnock / Beatrice,Runway / Rowena,551,409
11/9/2019,Figueroa / Durango,Figueroa / Durango,465,394
10/19/2019,Sepulveda / Runway,Figueroa / Culver,11,550
9/30/2019,Vermont / Venice,Figueroa / Durango,9,610
9/22/2019,Beatrice / 6th,McConnell / Inglewood,30,587
11/14/2019,Beatrice / Ballona,Ardmore / 6th,6,417
9/11/2019,Culver / Berendo,Playa / Overland,549,572
11/2/2019,Figueroa / Durango,Vermont / Venice,9,610
12/23/2019,Ardmore / 6th,Overland / Olympic,23,433
12/29/2019,Playa / Olympic,Fountain / Figueroa,17,486
9/17/2019,Overland / Olympic,Overland / Olympic,36,511
10/30/2019,Figueroa / Durango,Virgil / Vermont,490,592
12/8/2019,Berendo / Beatrice,Durango / Charnock,28,523
9/19/2019,Fountain / Durango,Plaza / Overland,18,499
12/6/2019,Overland / Olympic,Vista / Virgil,23,433
11/5/2019,Runway / Rowena,Vista / Virgil,83,632
12/12/2019,Wilcox / Vista,Fountain / Figueroa,425,501
10/19/2019,Durango / Centinela,Durango / Centinela,125,312
11/3/2019,Beatrice / 6th,Overland / Olympic,20,558
